V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.96
",b'Antares',b'\xce\xb1 Sco\n',"600
","M1.5
","12
","680
","75,000
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"0.97
",b'Spica',b'\xce\xb1 Vir\n',"260
","B1
","11.43
","7.47
","20,512
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.14
",b'Pollux',b'\xce\xb2 Gem\n',"34
","K0
","1.9
","8.8
","43
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.16
",b'Fomalhaut',b'\xce\xb1 PsA\n',"25
","A3
","1.9
","1.8
","16.6
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Deneb',b'\xce\xb1 Cyg\n',"2,600
","A2
","19
","203
","200,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.25
",b'Mimosa',b'\xce\xb2 Crucis\n',"350
","B0.5
","16
","8.4
","34,000
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.39
",b'Regulus',b'\xce\xb1 Leo\n',"77
","B7
","3.8
","3.1
","290
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.50
",b'Adhara',b'\xce\xb5 CMa',"430
","B2
","12.5
","14
","39,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Shaula',b'\xce\xbb Sco',"700
","B2
","14.5
","8.8
","36,000
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.62
",b'Castor',b'\xce\xb1 Gem\n',"52
","A1
","2.8
","2.4
","30
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Gacrux',b'\xce\xb3 Cru',"88
","M3.5
","1.5
","84
","820
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.64
",b'Bellatrix',b'\xce\xb3 Ori',"240
","B2
","8.6
","5.8
","9,200
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.65
",b'Elnath',b'\xce\xb2 Tau',"130
","B7
","5.0
","4.2
","700
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Miaplacidus',b'\xce\xb2 Car',"110
","A1
","3.5
","6.8
","290
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.69
",b'Alnilam',b'\xce\xb5 Ori\n',"2,000
","B0
","32
","42
","380,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.72
",b'Gamma Velorum',b'None',"1,100
","WC8
","9.0
","6
","170,000
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
